,Tweet,Sentiment
1847," Wazir e Azam Shaukat Azizne 2 April 2006 ko kot Radha Kishan mein sui gas ki farhami ki taqrib se khitab karte hoye awam ko ghale mein khud kafil hone ki naveed di aur kaha ke Sadar ki behtareen policiyon ki wajah se Pakistan ka khazana bhar chukka hai, ab humen mehnat aur neek niyati se kaam kar ke awam ko khush haal banana hai",Positive
1848,In sare bayanat se aik hi baat samajh mein ati hai ke Wazir e Azam Shaukat Aziziqtesadi mahir hain is leye unhon ne apne dore hukumat mein awam ko mahaz khush haali ke khuwab dekhane ki zimedari nibhai hai aur aj tak nabha rahe hain,Positive
1849, Ye wo steel mills hai jis ne 2005 mein pedawar ke tamam records tor deye,Positive
1850,5 billion rupe ka asal munafa hasil kiya,Positive
1851, Sirf 28 saal ki umer mein 1921 mein Bengal qanoonsaaz council ke member bane aur apne auhdon par faiyz reh kar aap ne musalmano ke mafadaat aur huqooq ki khatir kisi na kisi satah par zaroor kaam kiya,Positive
1852, Aap ka talluq aik khushhaal aur almi gharane se tha,Positive
1853, 1937 mein Hussain Shaheed Suhrawardyall india musluim league mein shamil ho gaey aur Bengal mein muslim league ke secretary ki hesiyat se tanzeem nau ke silsila mein din raat kaam kiya,Positive
1854, Aap ko Bengal ke wazeer e aala Maulvi Fazal ul Haq ke sath kaam karne ka bhi mauqa mila,Positive
1855, Wo kae baar Bengal kabina ke rukun muqarrar hue,Positive
1856, Jis mein aap ne “ qarardad Lahore ” mein aik tarmeem manzoor karai,Positive
1857, Qiyam e Pakistan ke waqt hindu muslim fasadaat ke pesh e nazar aap ne kamala jurrat se kaam ke lar Gandhi Ji ki maiyt mein sooba ka daura kiya aur is tarah fasadiyon ki sazish ko nakaam bana diya,Positive
1858, 1956 ke aaiyn ki tayyari mein mashraqi o maghrabi Pakistan mein masawat ka usool manwane mein Hussain Shaheed Suhrawardy ne nehayat aeham kirdar adaa kiya,Positive
1859," Ayub Khan marshal law ki taqat ke zariye politicians par pabandi aaiyd ki, to aap ne un pabandiyon ko alal aelan challenge kiya aur marshal law hukkam ke jaberana aehkamat ki khilaf warzi ki",Positive
1860,"Abdu ke qanoon ke tehat Hussain Shaheed Suhrawardy par muqaddama chalaya gaya, chunache tribunal ne samne pesh ho kar aap ne apna case aise madlal aur asar angez andaaz mein pesh kiya",Positive
1861," Hussain Shaheed Suhrawardy mulk mein jamhori siyasat ke sab se barhe alambardar, haq go aur belos politician the",Positive
1862,Imran Khan Niazi: Pakistan  kay azeem tareen cricketer meim shamil tarekh kay azeem tareen all rounder mein say aik mashour samaji karkun aur mojoudah siasatdan ka pura naam Imran Ahmed Khan  Niazi hai,Positive
1863,Duniya kay azeem cricketer Pakistan team kay sabiq captain  Shaukat Khanum Memorial Hospital kay bani ,Positive
1864, Iss kay baad alla taleem kay liye ,Positive
1865,Khan ka shumar  Pakistan cricket kay kamyab tareen caption mein hota hai,Positive
1866, woh Pakistan kay pehlay caption thay jin ki qayadat mein pakistani team nay Bharat ko Bharat aur England  ko England mein haraya in kay zare qiyadat Pakistan ki team duniya bhar mein wahid team thi jis nay West Indies ki zabardast team kay khilaf 3 test series barabar kiye iss dour  mein duniya ki kisi aur team ko ye azaz hasil nahi huwa batour caption ,Positive
1867,Pakistani cricket team nay 1992 mein Imran Khan ki qayadat mein kheltay huway 5 wein cricket World Cup jeeta,Positive
1868, jin mein say 77 jeete 57 hare 4 be nateja rahe jab kay 1 match barabar raha,Positive
1869,App nay majmoye tour per world cups mein hisa liya jo kay 1975 say lay kar 1992 tak munaqad huway ,Positive
1870,1992 kay world cup ko jitney kay bad app cricket say retirement ho gaye aur samaji kamon mein hissa lena shuro kardiya,Positive
1871,"app nay cancer kay marezo kay liye Asia ka  sub say bara hospital Shukat khanam Memorial Hospital  Lahore aik 
truest kay zariye qaim kiya",Positive
1872, Imran Khan Pakistani qaum ko iss hospital ka bani qarar detay hain,Positive
1873,Inhein hukumat Pakistan ki janib say sadarti award  bhi mila,Positive
1874, woh aza 1992 mein insani huqoq  ka Asia award  aur hilal-i-imtiaz 1992  mein ata huye  App bread ford university Britannia kay  Chancellor kay tour per bhi khidmat anjam dey rahe hain,Positive
1875,Imran khan nay sirf cricket kay maidan apni suhlahiyat ka loha  manwa chuke the bal kay medan say bahir bhi in ki shaksiyat mutasir kun thi kabhi inhe play boy say pukara jata to kabhi bara sanjeeda samaji karkun kay nam say ubhre ,Positive
1876, inhein aik Australian newspeper Oz nay sal kay sub say pur kashish  mard ka khatab bhi diya ,Positive
1877, 1995 mein Imran Khanne marhum bartanvi  arab pati  sarjims goldsmith ki beti jemama goldsmith say shadi ki ,Positive
1878,jemama smith nay shadi say phelay Islam qaboul karliya tha in ka Islamic name jemama khan hai,Positive
1879, Ibtedai tour per  inhain kamiyabi  na mil saki lakin haliya dino mein woh  apni jado jehad aur usool parsadi ki badolat Pakistani awam  khusosan noujawano mein taezi say maqboliyat hassil kar rahey hain,Positive
1880, 1997 kay intakhabat mein in kijamat koi seat  hassil na kar saki ta hum 2002 kay intakhabat meininhein aik seat hasil hoi,Positive
1881, Duniya bhar kay akhbarat nay Imran Khan ki  Pervez Musharraf kay khilaf jad-o-jehad ko saraha 18 November ko Imran Khan ney Dera Ghazi khan jail mein bhok hartal shuro kiya 22 Nov ko inhein acahanak reha kardiya gaya ,Positive
1882,Imran khan nay crickets mein qayadat jazbey aur azam ki naye mishalain qaim ki ,Positive
1883,"in ki hum gair aur dair pa maqboliyat iss waqt samne aiye jab cricket ki sahafat kay sub say mutabar aur sub say qadeem adare wiz Dan nay cricket ki tarekh kay sub say maqboul all round  ka tayeen karney kay liye sarwe karaya aur Imran Khan ka naam sar-e-fehrist ho kar samne aya goya Ian Botham, Richard Hadlee, Kapil Dev aur Jack Kalex  all rounder aaj bhi in ki  maqboliyat ka muqabla nahi kar sakey",Positive
1884,sirf ye hi nahi in ki sehar ungaiz shaksiyat nay Pakistan ko cricket ka rukh hi badal diya aur in ki amad kay baad Pakistan  mein fast bowler ki amad ka aisa silsila shuro huwa jo aaj tak tham ney mein nahi aya,Positive
1885,in ki azmat ka ateraf January 2009 mein ICC  nay Hanif Muhammad aur Javed Miandad kay sath inhein apney pheley hall of fame  mein shamil kar kay kiya,Positive
1886,"Pir Ali Muhammed Rashdi Sindh ke wahid sahafi aur politician the, jo Sindhi, Urdu, aur English zabano par mukammal aboor rakhte the",Positive
1887," Pir Ali Muhammed Rashdi  ne Sindh ke adab, sahafat aur siyasat ke liye besh baha kaam kiya",Positive
1888, Sindhi aur urdu adab ki taraqqi ke liye marhoom Pir Ali Rashdi ki khidmaat ko hamesha yaad rakha jaega,Positive
1889, Wo bunyadi taur par roshan khayal aur taraqqi pasand danishwar the,Positive
1890," Tareekh, adab, siyasat, nafsiyat aur shikar ke har mauzoo par maharat rakhte the",Positive
1891, Jis shobey mein bhi inho ne qadam rakha aur khud ko aehal aur ba’kamaal sabit kiya,Positive
1892, Bachpan he se sahafat aur adab se munsalik rahe,Positive
1893, Akhbaraat mein mazameen likhne ka aaghaz kiya,Positive
1894, 1927 se 1932 tak Rashdi marhoom ne Mohammed Ayyub Khoro ke secretary ke faraiyz anjaam diye aur Sindh ko Bombay se alehda karne ki koshishon mein hissa liya,Positive
1895, 1938 mein Pir Rashdi ne all india muslim league mein shamoliyat ikhteyar ki aur 1938 mein he Quaid e Azam Mohammed Ali Jinnah ki zer e sadarat Karachi mein munaqid hone wali tareekhi conference ki majlis istaqbaliya ke general secretary ki hesiyat se conference ko kamiyab banane mein qabil e qadar khidmaat anjaam den,Positive
1896, Unho ne Haji Sir Abdullah Haroon ke sath mil kar Sindh ki Bombay se alehdgi ke liye kaam kiya,Positive
1897, Pir Ali Muhammed Rashdi ne mansoba Pakistan ke mumkin ul amal hone ki aik wajah jamaa report bhi pesh kit hi,Positive
1898," Pir Ali Rashdi ne 1939 – 40 mein Lahore mein qeyamkiya aur March 1940 mein Lahore mein munaqid hone wale All India Muslim League ke tareekh saaz salana ijlaas ke intezamaat mein hissa liya, jis mein “ qarardad e Pakistan ” manzoor ki gai thi",Positive
1899, Musalmanan e Sindh ke wahid wakeel ki hesiyat se jodational tribunal ke samne is muqaddamey ki perwi ki adriya muqaddama jeeta,Positive
1900, Tribunal ne apne faidley mein is haqiqat ka izhaar kiya ke Musalmano ne fasadaat mein jarhiyat nahi ki thi,Positive
1901, Lehaza masjid Musalmanan e Sindh ke haq mein bahaal ki jaey aur musalman qaidiyon ko riha kiya jaey,Positive
1902, Jis ne Pakistan se mutalliq hindu press ki zehar afshaniyon ka dut kar muqabla kiya,Positive
1903, 1949 mein Pir Ali Rashdi Pakistan news paper editor conference ke sadder muntakhib hue aur Pakistani press ke us wafd ki sarbarahi ke faraiyz anjaam diye jo bharat gaya tha aur jis ne “ Liauqat Nehro Muaaehede ” ki raah hamwar kit hi,Positive
1904, 1953 mein aap ne dobara muslim league ke liye kaam kiya aur Sindh kabeena mein wazeer maal ki hesiyat se shamoliyat ikhteyar ki,Positive
1905, 1961 mein Philippine ka aala tareen shehri aezaaz “ Order of Sakartona ” ataa kiya,Positive
1906, Unho ne Pak China sarhadi muaahede ko amli jamaa pehnane mein numayan khidmaat anjaam deen,Positive
1907,Europe mein nashata sania ka hero ho ya barre sagheer mein maazi ka har barha aadmi……,Positive
1908," ksi aik shobey mein nahi, bilkul zindagi ke mukhtalif dairon mein kamal ka dawedaar hota tha",Positive
1909, Politician ko adab aur adeeb ko siyasat ke asbaaq azbar hote the,Positive
1910, Us waqt tak specialization aam nahi hui thi aur har namwar shakhs se tawaqqa ki jati thi ke wo uloom o fanon ke tamam shobon mein baqiyon se kahin behtar hai,Positive
1911,Maulana Kausar Niazi bhi barre sagheer mein barhe aadmiyon ki riwayat ke ain mutabiq aesi he hama jehat shakhsiyat the,Positive
1912," Siyasat, mazhab, tasoof, saqafat aur adab jaise matnoo aur baaz auqaat mutazad mazameen par Kausar Niazi ko yaksaa dastaras hasil thi",Positive
1913, Kausar Niazi ki siyasi taqareer mein shair o adab ki aamezish hui thi aur in ki mazhabi taqareer mein siyasat ki jhalak nazar aati thi,Positive
1914," Wo siyasat, adab aur nishast o barkhast mein Maulana Abu Alkalam Azaad, Maulana Mohammad Ali Johar and Hasrat Mohani ki riwayat se jurhe nazar aate the",Positive
1915, Apne khayalat ke ablaagh mein inhe maharat tamma hasil thi,Positive
1916, Kausar Niazi ki siyasi taqreerein majmey mein josh o kharosh bhi paida karti thin aur fikar o Danish ke nae dar bhi paida karti thin,Positive
1917, Jamat e islami mein shamil hue to is ke fikri halqey ka mumtaz sitara ban gae,Positive
1918,Haji Sir Abdullah Harron ka naam tehreek e azaadi ke un mumtaz rehnumao mein shamil hai jinho ne belos khidmat aur khuloos ke sabab tareekh mein apna naam mehfooz kar liya hai,Positive
1919, Ghulam Muhammed Bhurgri ke baad Sindh ke siyasi ufaq par jo sitara tuloo hua wo Haji Sir Abdullah Haroon hain,Positive
1920, Inho ne Sindh ke musalmano ki taleemi aur iqtesadi taraqqi aur siyasi beydari mein numayan hissa liya,Positive
1921, Inho ne tijarat mein anthak mehnat ki wajah se bohat taraqqi ki aur bil aakhir aik barhe business man ban gaey,Positive
1922," Rafaa aama, muslim league aur barresagher ki taqriban tamam tehreekon mein inho ne bharpor hissa liya aur aakhir muslim league ke he rahe aur nazariya e Pakistan ke liye apni tama tar tawanaiyan waqf kar deen",Positive
1923, Jo us zamane ke lihaz se barhi baat thi,Positive
1924,1918 mein tehreek e khilafat shuru hui to aap jaan o maal se us mein shamil ho gaey,Positive
1925, Khilafat tehreek se in ki wabastegi zarb ul missal ban gai thi,Positive
1926, Lekin sir Abdullah Haroon par hath dalne ki jurrat angrezon ko nahi ho saki,Positive
1927," Karachi mein nazaebandi ke zamane mein ali brothers ko jab tak ijazat rahi, un ke liye sir Abdullah Haroon ke ghar se he khana jata tha",Positive
1928, Inho ne university ko hazaron rupey ke attiyat diye the,Positive
1929, 1923 mein aik yatemm khana qaiym kiya,Positive
1930, Jis mein yateemon ki parwarish ke ilawa un ki taleem o tarbiyat ka mukammal intezam tha aur unhe mukhtalif hunar sikhaey jate the,Positive
1931, Us auhdey par reh kar inho ne Karachi ki taraqqi aur behtari ke liye kafi kaam kiye,Positive
1932,Sooba e Sindh ko Bombay se alehda karne ki tehreek mein wo bhi pesh pesh rahe,Positive
1933, Is liye musalman chahte the ke Sindh Bombay se alehda ho jaey ta ke musalmano ke huqooq mehfooz ho saken,Positive
1934," Quaid e Azam Mohammed Ali Jinnah, sir sultan mohammed agha khan, mian mohammed shafi, shafa’at ahmed khan air sir sahabzada abdul qayyum bhi is tehreek mein pesh pesh the",Positive
1935, Bil aakhir 1936 mein Sindh ko sooba Bombay se alehda kar ke aik nae sooba ka darja de diya gaya,Positive
1936, Sir Abdullah haroon ki koshishon aur muslim league ki markazi majlis e aamla ke tawwun se 7 se 10 October 1938 ko aik azeem ul shaan conference Karachi ke eid gaah meydan mein munaqid hui,Positive
1937, Jise ijlaas ke shurkaa ne kasrat raaey se manzoor kiya tha,Positive
1938," Pakistan ki tareekh mein Sindh muslim league ki is conference aur is mein pesh ki gai, Qarardadon ko behad aehmiyat hasil ki",Positive
1939," Is conference ke ineqad, is ke liye khat o kitaba, qarardadon ki tayyari aur conference ke bad aeham taqareer ki naqool tayyar kar ke Hindustan bhar ke deegar aeham sir karda musalman rehnumao ko bhijwane tak har marhaley par sir Abdullah haroon pesh pesh rahe",Positive
1940,1939 mein Sir Abdullah Haroon Sindh Muslim League ke sadder muntakhib hue aur 1940 mein wo apni mukhlisana khidmaat ki wajah se all india muslim league ki working committee ke member chune gaey,Positive
1941," Yeh wo waqt tha ke jab barresagher ke Musalmano mein azaadi ke tasawurrat aam ho rahe the aur khud muslim league bhi azaadi ke is tasawwur ko “ qarardad e Pakistan ” ki soorat mein dene wali thi, chunache 23 March 1940 ko all india muslim league ke tareekhi ijlaas munaqada Lahore mein sir Abdullah haroon ne sooba e Sindh ki numaiydegi karte hue maulvi fazal ul haq ki pesh karda qarardad ki bharpor taiyd ki",Positive
1942,"Sir Abdullah Haroon jaise mukhlis aur musalmano ke mohsin ke karnamey tareekh mein mehfooz to hain lekin bad qismati se mutalla ke shauq mein kami ke sabab nae nasal in se mukammal taur par aagah nahi, chunache zarorat is amar ki hai ke tehreek e azaadi ke mujahideen ke karnamon se nae nasal ko electronic media ke zariye aagah kiya jaey, ta ke in ki afkaar ki roshni mein naujawano ko apna raasta muntakhib karne mein dushwari na ho aur un mein mulk se mohabbat ka jazba bhi beydar hua",Positive
1943," Hum dekhte hai ke jamhuriat ke jaali champion kisi na kisi daur mein aamriyat ke saey tale zaroor palte bharte rahe hai, siwae Jahangir Badar ke",Positive
1944,"Maroof siasatdan Sheikh Rasheed hamesha is baat ka dawa karte hai ke tamam siyasat daan GHQ ki nursery mein peida huye aur parwarish pae lekin is jumle ke sath woh aik aur jumle ka izafa kar sakte hain, “ siwae Jahangir Badar ke’’",Positive
1945, Lower middle class se talluq rakhne ke bawajood unho ne siyasat ke sath sath taleem ko bhi jaari rakha,Positive
1946, Sabit qadam rehna,Positive
1947, Ye Sunnat-e-Hussain ( RA) hai jo hum pori kar rahe hai,Positive
1948," Mukhtalif targheeben aur lalach diye, yahan tak ke Wazeer-eazam Pakistan ki kursi bhi pesh ki gai, lekin mard-e-jamhoriyat ne tamam dhamkiyon aur tehrison ko joti ki nook par rakha",Positive
1949, Wajah ye batai ke unho ne ghareebon ko naukriyan di hai,Positive
1950,Kapra kafi acha hai kyunkay ek tou pehnnay mein naram hai aur isko dhuonay kay baad bhi fitting bhi sahi rahi aur na color kharab hua. Main 100% mutmayeen houn.,Positive
1951,Abhee tak tou mein is ki quality se khush hoon. Apna asar dekhaa rahee hai. Aur material bhee abhee tak chal raha hai :),Positive
1952,"Yeh netted top bara acha hai :) Material aur size dono mein yeh perfect hai, aur colour quality bhee satisfactory hai. Washable material hai aur 2-3 washes kay baad bhee colour ko kuch nai hua",Positive
1953,"Acha hai, bas thora sa material mein issue hai. Kapra thora sa akkrha hua hai, jaisasy aatay hee isko starch mein daal dia ho.",Positive
1954,Hogay achi h,Positive
1955,"Bara khubsurat braclet hai, qeemat kay hisab sey agar dekha jaye tou quality bhi achi hai aur pehnay mein bara acha lagta hai.",Positive
1956,Mein daraz se cheezen mangwati rehti hun or kaafi achi quality hoti hai. Yeh watch bhi kaafi achi thi basically meine apnay liye mangwayi thi laken ek masla tha ke iska strap bhot chota tha. Baaki watch achi hai colors bhi sharp hain straps ke..,Positive
1957,"achi hai, stuff bhee apsand aaya aur looks bhee. Shurh mein tou mein confuse hogaya tha kay yeh ghari hai ya bbracelet kiunkay is ghari ka dial bara chota hai . Meine iskay sath do aur gahriyan bhee mangwaeen theen. Aur sari kis ari bohatb achi hain :)
",Positive
1958,"mjhe tw yeh bohat hi ziada acha hai , price iski bohat kam hai lekin is mein koi kharabi nahi hai.. led bright hai aur time b sahi ata hai is mein.. doosri bat yeh hai k yeh pehenne mein comfortable hai, iska rubber bohat soft hai. kafi stylish lagta hai mjhe tw.. khush hoon main is se",Positive
1959,"Meine yeh ghari ka set apnee beti kay liay khareeda hai aur hum dono is set se bohat khush hain. Design bohat acha hai ghari ka aur strap attach bhee bohat hee asani se hojata hai. Har din who aik naya strap lagatee hai aur har dress kay liay aik na aik strap hai in kay paas :)
",Positive
1960,"Aik watch ka dial aur uskkay saath 21 straps jo hook se aram se attach hojaye aur 21 mukhtalif rangoun mein hai, har din aik naya style jo apkay manpasand kaproun kay saath jaye :)",Positive
1961,bhot kamal ka set hy..,Positive
1962,Mai boht zaada mutmayeen hun iss locket se kyunke mjhe ye aik dum aisi he mili hai jaisi ye picture mai dikhaayi gayi thi aur mjhe iski quality bhi pasand aayi. Dono chain aur locket bilkul sahi thi aur pehnnay mai bhi bilkul buri nahi.,Positive
1963,"Price kay hisaab sey quality theek hai, dekhnay mein kafi khubsurat aur shiny hai. Acha laga mujhay",Positive
1964,Mashallah owsum may allah bless u ispecially pray in salah in month of ramadan jazak Allah,Positive
1965,"Mein daraz se cheezen mangwati rehti hun or hamesha mera acha experience hota hai kyunke market se sasti or achi cheez apke ghar pe aajati hai. Khair ye anklet bhot khoobsurat thay or quality wise bhi achay thay laken is mein se ek nug ghayab tha laken woh notice mein nahi araha toh khair hai :)
",Positive
1966,Bilkul jaisa picture mai dekha tha waisa he product tha ye aur mjhe boht pasand aaaya. Iski quality bilkul A1 thi aur mai iss cheez se bhi mutmayeen hun ke iski description bilkul sahi thi website pe.,Positive
1967,Daraz.pk ne tou dil hi khush kardiya itni zabardast slippers hain yeh pehnne mein toh achi lagti hi hain quality wise bhi achi hai toh mein tou bilkul mutmaeen hun kyunke market jesi price mein agar ek cheez apke ghar deliver kardiya jaye toh kia masla hai?,Positive
1968,"Ashfaq Ahmed un naamwar adeebon mein shamil hai, jo qeyam-e- Pakistan ke forun bad adbi ufaq par numaya hue",Positive
1969, 1953 mein in ka afsana Gadaria in ki shohrat ka baiys bana,Positive
1970," Unho ne Urdu mein Punjabi alfaz ka takhleeqi tor par istemaal kiya aur ek khobsurat shagufta nasar eijaad ki, jo inhe ka wasaf samjhi jati hai",Positive
1971," Urdu adab mein kahani likhne ke fun par Ashfaq Ahmed ko jitna aboor tha, wo kam logon ke hisse mein aya",Positive
1972,jo apni makhsoos tarz-e-mazah aur do maeyne guftugo ke baiys maqbool aam hua aur 30 saal se ziyada arsey tak chalta raha,Positive
1973, Ashfaq Ahmed apne dramon mein plot se ziyada mukalmey par zoor dete the aur un ke kiradar taweel guftugo karte the,Positive
1974," Urdu ke do naamwar adeeb Mumtaz Mufti aur Qudrat-ullah Shahab, Ashfaq Ahmed ke khas doston mein shamil the",Positive
1975, Raja gidh novel ki khaliq Bano Qudsiya Urdu ki maroof adeeba hai,Positive
1976," Ek munfarid afsana nigar, ek be-badal nasar nigar aur ek mutabar danishwar ke tor par liya jaega",Positive
1977,"Urdu adab ke bohat se naqadeen ke nazdeek Faiz Ahmed faiz, Ghalib aur Iqbal ke bad Urdu ke sab se azeem Shaiyr hain",Positive
1978, Ap ke walid aik ilm pasand aadmi the,Positive
1979, Aap ke usatzaa mein Mir Maulvi Shams ul Haq ( jo Allama Iqbal ke bhi Ustaad the ) bhi shamil the,Positive
1980," 1947 se 1958 ke darmiyan aap mukhtalif adbi rasaiyl o jaraiyd ke mudeer rahe, jin mein Adb-e-Lateef aur Lotus qabil-e-zikar hain",Positive
1981, Ap ko 2 April 1955 ko riha kar diya gaya,Positive
1982,Bad ki zindagi aap ne likhne likhane ke shughal mein guzari aur waqt guzari ke liye mukhtalif shoubon mein kaam bhi karte rahe,Positive
1983, Aap ki yadgaar wo kitaben hain jo aap ne piche chori hain,Positive
1984, 1944 mein Amritsar mein Jama ul sana hall bazaar mein jo ulom e sharqiya ki bhetareen darsgah thi wahan mahana tarhi mushairre hote the jin mein sharkat karna un ke leye bari khushi ki baat thi,Positive
1985," Saghar ke adabi doston mein Ameen Gilani, Latif Khalil, Zaheer Kashmiri, Ahmed Rahi aur Mirza Janbaz shamil the jab ke Sahir Ludhyanwi, Nareesh Kumar, Shad, Latif Gard Aspori ka Saghar bahad adab o ahteram karte the",Positive
1986, Us ki funi qabiliyat ki kise ne pazirai nahi ki,Positive
1987,Pakistan ka lafz aik alehda Muslim watan ke liye sab se pehley Choudhry Rehmat Ali ne 1933 mein istemal kiya,Positive
1988,Chaudhry Rehmat Ali  ne 28 January 1933 ko “Ab Ya Kabhi Nahi”(Now Or Never) ke naam se aik ketabcha shaya kiya jis mein na sirf aik alehda Muslim Watan ke qayam ki tajweej pesh ki gaye balkey majuza Muslim watan ko Pakiktan ke naam se mousom kiya gaya,Positive
1989,Chaudhry Rehmat Ali nay apni tajweej mein Punjab sey “P” suba Sarhad key Afghanon sey “A” Kashmir sey “K” Sindh sey “S” aur Balochistan sey “Tan” ley ker unko apas mein       jor ker “Pakistan” banay,Positive
1990, Iss ke baad ye lafz taizi se maqbol hota chala gaya,Positive
1991, Hindustan ke mukhtalif alaqon mein na sirf Pakistan ke naam se tanzemein qaim huein balke “Pakistan” ke naam se akhbarat o jaraed bhi jari kiya gaya,Positive
1992,pehla resala 1933 mein Chaudhry Rehmat Ali ne Cambridge ( Britania) sey jari kiya jo Pakistan Qaumi Movement ka terjuman tha,Positive
1993,Hindustan mein haft Roza “Pakistan” June 1936 mein Abbottabad Soba Sarhad sey nikla jis key editor Syed Ghulam Hussain Shah Kazmi they,Positive
1994,1937 mein Punjab key Maulvi Ibrahim Ali Chushti ney “Tehreek e khilafat Pakistan” shuru ki aur iss hawaley sey aik skeem pesh ki,Positive
1995, 7 Augusst 1937 ki Nawab Ahmed Yar Khan Daultana ney apney aik mazmon mein ye  kiyal zahir keya key Congress ki policies ka natija yaqinan Pakistan ki sorat mein baramed hoga,Positive
1996,Pakistan key nam sey dosra resala Qanoon saz Assembly key rukun aur maroof sahafi o shayar Maulana Farooq Dewa Gorakhpuri (professor Majnun Gorakhpuri key walid) ney January 1939 mein Lakhnow sey jari kiya ye bhi haft roza tha,Positive
1997," Iss mein Maulvi Mohammed Farooq Dewana Gorakhpuri ney ba hasiat Sadar taqrer kertey huye Choudhary Rehmat Ali ki skeem per roshni dali aur unki taqreer key dauran samayein barabar ""Pakistan Zindabad"" key narey buland kartey rahey",Positive
1998,Islam den e fitrat hai jis mein ese zawabit paye jate hain jo insani mizaj aur zaroriyat ke aan mutabiq hain,Positive
1999,Islam khatoon ki izat aur toqeer ka dars deta hai,Positive
2000,Isi fitri zarorat ke pesh e nazar Islam khatoon ki izat o ahteram ki taked karta hai,Positive
2001,"Kyun ke ye Hawa ki beti ka mamla hai, imtiaz ka nahi, niswani nazakat aur hifz e maratib pesh e nazar hai kuch aur nahi",Positive
2002,Har musalman ko is baat par kamil iman rakhna chaheye ke islam insani hoqoq ka alam badar aur mashi aur samaji masawat ka dai hai,Positive
2003,Islam masher ke tamam afrad ke hoqoq ki zamanat deta hai aur kisi fard ya giroh ya jins ki bunyad par imtiaz Islam ki roh ke khilaf hai,Positive
2004,Ye din khawateen ke hoqoq ki jid o jehad ki yad delata hai,Positive
2005,"Phir 1908 mein America ki socialist party ne khawateen (women) ke masail hal karne ke leye Women National Commission banaya, jis ne khawateen (women)  ke almi din ke leye sifarishat mauratab kein, ta ke khawateen (women)  ke haq e ray dahi ke leye aik munazam muhim ka aghaz kiya jaye",Positive
2006,"Social democratic woman society ne 8 March 1908 ko New York mein khawateen ke hoqoq ke leye aik ijlas munaqed kiya, jis ke nateje mein American socialist community ne 1909 mein February ke akhiri hafte mein khawateen ka alami din manane ka elan kar deya",Positive
2007,Socialist khawateen ne 1909 aur 1910 mein khawateen ke aki ijlas munaqid kiye aur women national commission ne 1910 mein socialist national congress ko sifarish pesh ki ke February ke akhiri itwar (Sunday) ko khawateen (women)  ka almi din qarar deya jaye,Positive
2008,Phir August 1910 mein Copan Hagan mein socialist conference munaqid ki gayi jis mein tajwiz de gayi ke is din ko almi satah par bhi khawateen ka din qarar diya jaye,Positive
2009,Conference ke doran ye tajwiz manzor kar li gai aur is tarah khawateen ka almi din wajod mein agaya,Positive
2010,1917 mein Russia ki khawateen ne apne hoqoq  manwane ke leye gharon aur factoryon se sarkon par akar aik pur josh muzahira kiya,Positive
2011,Is tarikhi waqeye ne khawateen ki duniya badal di,Positive
2012,Is muzahire ke bad peter grad mein hartaal hoi aur khawateen (women) ka ye ahtejaj is had tak phel gaya ke aik hafte ke andar Zar Nicolas dom medan chor kar bhagne par majbor ho gaya,Positive
2013,Almi satah par rosi khawateen ki is jurat ko saraha gaya aur Russia mein 8 March ko khawateen ka din qarar de diya gaya,Positive
2014,1960 ki dehai ke akhir mein khawateen ki tehrikon mein aik naya ubhar aaya to 8 March ko almi yom e khawateen ke tor par manane ka mutalba aik pur zor tehrik ki shakal mein samne aaya aur socialist mumalik ke sath un mimalik mein bhi 8 March ko khawateen ke din ke tor par manaya jane lag ajahan  ye din dosri tarikon ko manaya jata tha,Positive
2015,"Shuru mein socialist paas e manzar ke bais America ki taraf se is tajwiz ki mukhalfat ki jati rahi, tahum 1981  mein wahan bhi 8 March ko khawateen ka din tasleem kar leya gaya",Positive
2016,"1975 se 1995 tak khawateen ki char (4) almi conferences munaqid hoein, jin ka maqsad duniya bhar ki khawateen ki numaindagan ko aik plate form par akhatta kar ke un ke masail ki nishan dahi karna tha",Positive
2017,"In conferences mein khawateen ke infaradi masailse le kar almi satah tak ke masail par tafsil se giftogo ki gai, aur sifarishat par mushtamil elamiye bhi jari keye gaye",Positive
2018,Ye naya musawida e qanon mustaqbil mein Pakistan mein khatoon ke muqam aur hoqoq ke taiyon mein bunyadi ahmiyat ka hamil hia,Positive
2019,Duniya ke har mullk mein aain ki bunyadi amarat insani hoqoq par khari hoti hai,Positive
2020,"In mein sheriyon ko khush haali, azadi, masawat, izzat e nafas jise bunyadi hoqoq shamil hain",Positive
2021,Riyasat is dastawez ke zarye is baat ko tasleem karti hai ye wo har qemat par sheriyon ko ye hoqoq faraham kare gi aur in hoqoq par amal dar aamad ko yaqeni banane ke leye har mumkin iqdamat kare gi,Positive
2022,khawateen ke hoqoq ki jab baat aati hai to 8 March ka din is hawale se khasi ahmiyat ikhteyar kar jata hai ke har saal is din pori duniya mein is haqeqat ko tasleem kiya jata hai ye khawateen ke hoqoq bhi insani hoqoq hain aur ye ke mashi aur mashrati taraqi sanfi masawat ke baghair mumkin nahi,Positive
2023,"8 March ko agar khawateen ko un ke hoqoq dene ki baat hoti hai to har satah par is azam ka izhar bhi zarori hai ke bahesiyat insan khatoon ko izat aur masawi hesiyat dena ho gi,khatoon ke khilaf hone wali istehsaal aur har shakal ke tashdud ko jar se ukharna ho ga",Positive
